Category,Item Name,Gluten Free,Vegan,Allergens,Spicy Level,Popular,Description,Price,Price2,Subcategory,Image URL
Breads/Naan,Plain,,Yes,,0,,Soft and fluffy leavened flatbread cooked in a tandoor.,£3.25,,,
Breads/Naan,Butter,,,,0,Yes,Naan generously brushed with melted butter for rich flavor.,£3.50,,,
Breads/Naan,Garlic,,,,0,,"Naan infused with minced garlic and herbs, toasted to golden perfection.",£3.99,,,
Breads/Naan,Chapathi (2pc),,Yes,,0,,"Soft, thin whole wheat flatbread, lightly roasted on a griddle.",£3.50,,,
Breads/Naan,Parota (2pc),,Yes,,0,Yes,"Flaky, layered flatbread made with refined flour and ghee, crispy outside, soft inside.",£5.50,,,
Varieties of Kothu,Veg Kothu,,Yes,,2,,"Mixed vegetables cooked with aromatic spices, served dry or with gravy.",£7.25,,,
Varieties of Kothu,Chicken Kothu,,,,2,Yes,"Tender chicken pieces cooked in rich, flavorful Indian masala.",£8.25,,,
Varieties of Kothu,Lamb Kothu,,,,2,,Succulent lamb slow-cooked in spiced curry or dry-roast style.,£9.25,,,
Varieties of Kothu,Egg Kothu,,,,2,Yes,"Boiled or scrambled eggs sautéed with onions, chilies, and spices.",£7.99,,,
Varieties of Kothu,Egg Veech parota,,,,0,Yes,"Flaky veech parota wrapped with a thin egg layer, cooked to perfection.",£7.25,,,
Varieties of Kothu,Plain Veech parota,,Yes,,0,,"Paper-thin, soft, and stretchable flatbread, often served with curry",£6.25,,,
Chola Noodles,Veg Noodles,,Yes,,2,,"Flavorful Veg Noodles, stir-fried with fresh vegetables and savory sauce, a light and delicious meal option.",£7.99,,,
Chola Noodles,Chicken noodles,,,,2,,"Savory Chicken Noodles, stir-fried with tender chicken, crisp veggies, and bold flavors, a satisfying meal.",£8.99,,,
Chola Noodles,Egg Noodles,,,,2,,"Tasty Egg Noodles, stir-fried with fluffy eggs and fresh veggies, a simple yet flavorful dish.",£8.50,,,
Wee Dessert,Kesari (1 piece),,,,0,Yes,"dessert made with semolina, ghee, sugar",1.99,,,
Wee Dessert,Payasam (4OZ),,,,0,Yes,"dessert made with milk, rice or vermicelli, and flavored with cardamom and nuts.",2.99,,,
Wee Dessert,Gulab Jamoon (2 pieces),,,,0,Yes,"Soft, deep-fried milk-based balls soaked in fragrant sugar syrup.",3.25,,,
Wee Dessert,Bread Halwa (4OZ),,,,0,,aromatic dessert made by slow-cooking bread pieces.,2.99,,,
Wee Dessert,Carrot Halwa (4OZ),Yes,,,0,Yes,"dessert made by slow-cooking grated carrots with milk,",3.99,,,
Lassi,Salt Lassi (12oz),Yes,,,0,,A refreshing yogurt-based savory drink blended with salt,3.25,,,
Lassi,Sweet Lassi (12oz),Yes,,,0,,A refreshing yogurt-based savory drink blended with Sugar,3.25,,,
Lassi,Mango Lassi (12oz),Yes,,,0,Yes,A refreshing yogurt-based savory drink blended with Mango pulp,3.75,,,
Fresh Juice (12oz),Orange Juice (12oz),Yes,Yes,,0,Yes,"Freshly squeezed juice made from ripe, juicy oranges, served chilled.",3.5,,,
Fresh Juice (12oz),Apple Juice (12oz),Yes,,,0,,"Refreshing juice made from freshly pressed apples, retaining natural sweetness and flavor.",3.75,,,
Fresh Juice (12oz),Watermelon Juice (12oz),Yes,Yes,,0,Yes,"Cool and hydrating juice made from freshly blended watermelon, perfect for a summer refreshment.",3.75,,,
Fresh Juice (12oz),Pineapple Juice (12oz),Yes,Yes,,0,,"Zesty and tropical juice made from freshly extracted pineapple, bursting with natural sweetness.",3.99,,,
Fresh Juice (12oz),Banana Juice (12oz),Yes,,,0,,,3.75,,,
Soft Drinks,Coke (330 ml ),,,,,,"Refreshing Coke (330 ml), icy cold and fizzy, the perfect drink to complement your meal.",1.5,,,
Soft Drinks,Diet Coke 330 ml,,,,,,"Crisp Diet Coke (330 ml), refreshing and sugar-free, the perfect light beverage to pair with your meal.",1.5,,,
Soft Drinks,Fanta orange 330 ml,,,,,,"Zesty Fanta Orange (330 ml), bursting with bright citrus flavor, a refreshing drink to enjoy with your meal.",1.5,,,
Soft Drinks,Sprite 330 ml,,,,,,"Cool Sprite (330 ml), crisp and lemon-lime flavored, a refreshing drink to pair with any meal.",1.5,,,
Soft Drinks,Coke Zero 330 ml,,,,,,"Bold Coke Zero (330 ml), sugar-free with classic cola taste, a refreshing drink to complement your meal.",1.5,,,
Soft Drinks,Sparkling water 330 ml,,,,,,"Crisp Sparkling Water (330 ml), refreshingly bubbly and pure, perfect for a light, hydrating sip.",2.5,,,
Soft Drinks,Spring water 330 ml,,,,,,"Pure Spring Water (330 ml), fresh and clean, a refreshing and hydrating choice for any meal.",2.5,,,
Soft Drinks,Irn bru (330ml),,,,,,"Fizzy Irn-Bru (330 ml), Scotland’s iconic bold and tangy drink, perfect for a refreshing kick.",1.5,,,
Soft Drinks,Diet Irn bru (330ml),,,,,,"Zesty Diet Irn-Bru (330 ml), sugar-free with Scotland’s bold, tangy flavor, a refreshing drink companion.",1.5,,,
Deals,Chettinad Chicken + Parota (2pc) + Kesari,,,,,yes,"Chettinad Chicken with 2 Parotas and Kesari dessert combo. Spicy, authentic South Indian flavors at a great deal!",£14.95,,,
Deals,Madras lamb + Ghee rice + Kesari,,,,,yes,"Madras Lamb with Ghee Rice and Kesari dessert combo. Rich, aromatic South Indian dish with a sweet finish, perfect deal!

",,,,
